race,age,gender,status,count
White,middle-aged,M,APPROVED,1686
Hispanic,middle-aged,M,SUBMITTED,517
Black,middle-aged,M,REVIEWED,453
Hispanic,young adult,M,REVIEWED,590
Hispanic,middle-aged,M,REVIEWED,776
Black,middle-aged,M,APPROVED,552
White,middle-aged,M,REVIEWED,1693
White,middle-aged,M,REVIEWED,521
Hispanic,young adult,M,SUBMITTED,615
White,middle-aged,M,APPROVED,1212
White,young adult,M,SUBMITTED,1970
White,young adult,M,SUBMITTED,1231
Hispanic,middle-aged,M,APPROVED,835
Hispanic,middle-aged,M,APPROVED,587
Hispanic,young adult,M,SUBMITTED,721
Hispanic,middle-aged,M,APPROVED,833
White,young adult,M,REVIEWED,1613
Hispanic,young adult,M,SUBMITTED,765
Hispanic,middle-aged,M,REVIEWED,674
Hispanic,middle-aged,M,APPROVED,792
White,middle-aged,M,APPROVED,1949
Black,middle-aged,M,REVIEWED,412
White,middle-aged,M,REVIEWED,1287
Hispanic,young adult,M,SUBMITTED,833
White,middle-aged,M,SUBMITTED,865
White,middle-aged,M,REVIEWED,866
White,middle-aged,M,APPROVED,2167
White,middle-aged,M,APPROVED,728
Hispanic,middle-aged,M,REVIEWED,698
White,middle-aged,M,REVIEWED,1498
White,middle-aged,M,APPROVED,1572
Black,middle-aged,M,REVIEWED,416
Hispanic,middle-aged,M,REVIEWED,448
White,young adult,M,REVIEWED,1518
Hispanic,middle-aged,M,APPROVED,718
White,middle-aged,M,APPROVED,928
White,young adult,M,REVIEWED,532
Black,middle-aged,M,APPROVED,454
Hispanic,young adult,M,SUBMITTED,813
White,middle-aged,M,APPROVED,2081
Hispanic,young adult,M,SUBMITTED,705
White,young adult,M,SUBMITTED,2124
White,middle-aged,M,SUBMITTED,489
White,middle-aged,M,APPROVED,1415
Hispanic,middle-aged,M,REVIEWED,658
White,middle-aged,M,APPROVED,1732
Hispanic,middle-aged,M,REVIEWED,502
White,middle-aged,M,REVIEWED,1171
White,middle-aged,M,APPROVED,1182
