src,dst,trr_count,shift_worked,officer_id
15,22256,1,2,15
15,13773,1,2,15
2110,2621,1,13,2110
42,2110,2,44,2110
2110,27673,4,47,2110
1989,2110,8,22,2110
1544,2110,2,4,2110
432,2110,1,28,2110
2110,21477,4,56,2110
2110,21596,7,387,2110
2110,25291,3,4,2110
2110,9010,3,20,2110
2798,20038,1,1,2798
3802,23950,13,248,3802
4381,5910,7,47,4381
4381,13909,1,222,4381
8628,30409,1,1,8628
8628,18384,13,760,8628
1066,9976,1,11,9976
9976,31485,1,7,9976
9976,16438,1,1,9976
9976,24979,2,18,9976
9976,28817,3,459,9976
10583,13873,2,1,10583
10583,14245,1,1,10583
11096,18591,2,31,11096
4187,11129,2,16,11129
11129,20885,1,48,11129
11257,23379,1,48,11257
11257,13234,1,68,11257
10574,11257,2,505,11257
11257,13359,1,14,11257
12089,21468,1,2,12089
11365,12089,1,6,12089
15273,22392,16,2,15273
11650,15811,1,1,15811
16490,17719,1,226,16490
10654,17189,1,1,17189
17189,28383,1,14,17189
17189,28878,1,10,17189
17259,27084,1,3,17259
17259,25894,4,126,17259
17634,27084,1,1,17634
18537,22397,4,53,18537
21465,31716,9,163,21465
20038,21476,5,2,21476
1434,21476,5,288,21476
21476,25811,2,4,21476
21586,23950,1,2,21586
22018,24571,3,573,22018
22025,25431,1,1,22025
22946,29433,1,1,22946
22946,32185,1,4,22946
20273,22946,1,4,22946
1776,24116,1,1,24116
24695,28767,1,2,24695
24695,29433,1,1,24695
24695,32185,1,12,24695
20273,24695,1,2,24695
7182,25491,1,1,25491
3764,25491,6,11,25491
26018,29803,1,1,26018
20273,26018,1,5,26018
26018,32185,1,3,26018
27983,30197,7,31,27983
6656,27983,1,1,27983
29454,32185,1,4,29454
7961,29454,1,178,29454
28767,29454,1,9,29454
20273,29454,1,9,29454
25894,29992,1,6,29992
1814,31030,1,1,31030
13898,31030,1,14,31030
27311,31030,1,12,31030
1859,31030,1,12,31030
31030,32091,1,2,31030
4482,31030,1,2,31030
28756,31030,1,1,31030
22922,31030,1,1,31030
12377,31030,1,1,31030
25811,31576,1,1,31576
10261,31576,1,1,31576
2886,31795,1,1,31795
31935,31993,6,24,31935
31716,32105,1,1,32105
2886,32105,2,3,32105
13266,32105,1,4,32105
18626,32271,1,2,32271
24758,32271,2,173,32271
30062,32402,4,353,32402
32402,32407,1,1,32402
20047,32402,1,1,32402
11686,32402,3,2,32402
