crid,category,allegation_name,allegation_category_id,officer_race,subject_race,cr_text
1059251,Use Of Force,Excessive Force / On Duty - Injury,98,White,Black,"Initial / Intake Allegation 1: The reporting party alleges that he went to
the 1st District police station to request
assistance to a homeless shelter. The
reporting party alleges that the accused told
him that he had to leave the station.
The reporting party alleges that the accused
approached him and grabbed him by his
arm and punched him about his face and
body causing his nose to bleed. It is
reported that the reporting party was
arrested for Resisting Arrest and Simple
Assault.
Initial / Intake Allegation 4: The reporting party alleges that he went to
the 1st District police station to request
assistance to a homeless shelter. The
reporting party alleges that the accused told
him that he had to leave the station.
The reporting party alleges that the accused
approached him and grabbed him by his
arm and punched him about his face and
body causing his nose to bleed. It is
reported that the reporting party was
arrested for Resisting Arrest and Simple
Assault.
Allegation 2: alleged that he went to the 1st District police station to
request assistance to a homeless shelter and the accused told him that
he had to leave the station
alleged that the accused approached him and grabbed him
by his arm and punched him about his face and body.
Finding 1: NO AFFIDAVIT
"
1059269,Operation/Personnel Violations,Inadequate / Failure To Provide Service,204,White,Black,"Initial / Intake Allegation 1: Battery, alleges that the
uniformed officers who
arrest the offender who
Reporting Party Victim
the responding officers
her with any reports or
the incident.
Initial / Intake Allegation 4: The Reporting Party Victim, who was the
victim of Domestic Battery, alleges that the
four (4) male white uniformed officers who
responded failed to arrest the offender who
was on scene. The Reporting Party Victim
further alleges that the responding officers
refused to provide her with any reports or
documentation of the incident.
"
1059269,Operation/Personnel Violations,Inadequate / Failure To Provide Service,204,White,Black,"Initial / Intake Allegation 1: Battery, alleges that the
uniformed officers who
arrest the offender who
Reporting Party Victim
the responding officers
her with any reports or
the incident.
Initial / Intake Allegation 4: The Reporting Party Victim, who was the
victim of Domestic Battery, alleges that the
four (4) male white uniformed officers who
responded failed to arrest the offender who
was on scene. The Reporting Party Victim
further alleges that the responding officers
refused to provide her with any reports or
documentation of the incident.
"
1059269,Operation/Personnel Violations,Inadequate / Failure To Provide Service,204,White,Black,"Initial / Intake Allegation 1: Battery, alleges that the
uniformed officers who
arrest the offender who
Reporting Party Victim
the responding officers
her with any reports or
the incident.
Initial / Intake Allegation 4: The Reporting Party Victim, who was the
victim of Domestic Battery, alleges that the
four (4) male white uniformed officers who
responded failed to arrest the offender who
was on scene. The Reporting Party Victim
further alleges that the responding officers
refused to provide her with any reports or
documentation of the incident.
"
1059214,Operation/Personnel Violations,Inadequate / Failure To Provide Service,204,Asian/Pacific,Black,"Initial / Intake Allegation 1: when he called regarding a noise
disturbance. The reporting party also
alleged that the accused officers refused to
provide their names and star numbers when
requested to do so.
Initial / Intake Allegation 4: The reporting party alleged that the accused
officers failed to render assistance to him
when he called regarding a noise
disturbance. The reporting party also
alleged that the accused officers refused to
provide their names and star numbers when
requested to do so.
"
1059214,Operation/Personnel Violations,Inadequate / Failure To Provide Service,204,Asian/Pacific,Black,"Initial / Intake Allegation 1: when he called regarding a noise
disturbance. The reporting party also
alleged that the accused officers refused to
provide their names and star numbers when
requested to do so.
Initial / Intake Allegation 4: The reporting party alleged that the accused
officers failed to render assistance to him
when he called regarding a noise
disturbance. The reporting party also
alleged that the accused officers refused to
provide their names and star numbers when
requested to do so.
"
1059218,Operation/Personnel Violations,Inadequate / Failure To Provide Service,204,White,Black,"Initial / Intake Allegation 1: THE
THAT THE
REFUSED TO
POLICE REPORT.
Initial / Intake Allegation 4: THE REPORTING PARTY STATES THAT
HE WAS THE VICTIM OF AN ARMED
ROBBERY AND HE CALLED THE
POLICE. HE ALLEGES THAT THE
ACCUSED OFFICERS REFUSED TO
PROVIDE HIM WITH A POLICE REPORT.
"
1059218,Operation/Personnel Violations,Inadequate / Failure To Provide Service,204,Hispanic,Black,"Initial / Intake Allegation 1: THE
THAT THE
REFUSED TO
POLICE REPORT.
Initial / Intake Allegation 4: THE REPORTING PARTY STATES THAT
HE WAS THE VICTIM OF AN ARMED
ROBBERY AND HE CALLED THE
POLICE. HE ALLEGES THAT THE
ACCUSED OFFICERS REFUSED TO
PROVIDE HIM WITH A POLICE REPORT.
"
1059251,Use Of Force,Excessive Force / On Duty - Injury,98,White,Black,"Initial / Intake Allegation 1: The reporting party alleges that he went to
the 1st District police station to request
assistance to a homeless shelter. The
reporting party alleges that the accused told
him that he had to leave the station.
The reporting party alleges that the accused
approached him and grabbed him by his
arm and punched him about his face and
body causing his nose to bleed. It is
reported that the reporting party was
arrested for Resisting Arrest and Simple
Assault.
Initial / Intake Allegation 4: The reporting party alleges that he went to
the 1st District police station to request
assistance to a homeless shelter. The
reporting party alleges that the accused told
him that he had to leave the station.
The reporting party alleges that the accused
approached him and grabbed him by his
arm and punched him about his face and
body causing his nose to bleed. It is
reported that the reporting party was
arrested for Resisting Arrest and Simple
Assault.
Allegation 2: alleged that he went to the 1st District police station to
request assistance to a homeless shelter and the accused told him that
he had to leave the station
alleged that the accused approached him and grabbed him
by his arm and punched him about his face and body.
Finding 1: NO AFFIDAVIT
"
1059251,Use Of Force,Excessive Force / On Duty - Injury,98,Black,Black,"Initial / Intake Allegation 1: The reporting party alleges that he went to
the 1st District police station to request
assistance to a homeless shelter. The
reporting party alleges that the accused told
him that he had to leave the station.
The reporting party alleges that the accused
approached him and grabbed him by his
arm and punched him about his face and
body causing his nose to bleed. It is
reported that the reporting party was
arrested for Resisting Arrest and Simple
Assault.
Initial / Intake Allegation 4: The reporting party alleges that he went to
the 1st District police station to request
assistance to a homeless shelter. The
reporting party alleges that the accused told
him that he had to leave the station.
The reporting party alleges that the accused
approached him and grabbed him by his
arm and punched him about his face and
body causing his nose to bleed. It is
reported that the reporting party was
arrested for Resisting Arrest and Simple
Assault.
Allegation 2: alleged that he went to the 1st District police station to
request assistance to a homeless shelter and the accused told him that
he had to leave the station
alleged that the accused approached him and grabbed him
by his arm and punched him about his face and body.
Finding 1: NO AFFIDAVIT
"
